,name,document_frequency
458,vpsllw,90
459,vorps,112
460,xsaves,157
461,vmovapd,26
462,xsave,177
463,vpslld,125
464,vpcmpgtd,120
465,lmsw,389
466,vpsubq,120
467,vcvtsi2sd,111
468,vgatherdps,2
469,vmptrld,128
470,vcmpfalsepd,1
471,vdivpd,104
472,prefetcht1,257
473,vxorpd,97
474,prefetchw,426
475,xrstors,186
476,comisd,154
477,cvtss2sd,44
478,movlhps,432
479,vminss,83
480,vorpd,101
481,sidt,717
482,vmaxpd,65
483,vpunpckhqdq,90
484,vpsraw,125
485,vminpd,99
486,pf2iw,28
487,pi2fw,103
488,vpinsrw,72
489,vpcmpgtw,98
490,vdivps,98
491,vpcomuq,8
492,vpavgb,69
493,vpaddw,202
494,vpshuflw,8
495,vpaddb,117
496,vpsubsw,119
497,vpmaddwd,142
498,vpsubsb,174
499,sgdt,937
500,vmovupd,28
501,vpackssdw,96
502,vpcmpgtb,120
503,vpsrlq,162
504,vunpckhpd,84
505,vpaddusb,80
506,vminps,73
507,vmaxsd,137
508,vcvtsd2ss,92
509,cmpxchg8b,206
510,vaddsd,91
511,vpsadbw,146
512,vrcpss,74
513,vmovss,61
514,vmxoff,21
515,kandnw,10
516,vaddss,99
517,vdivss,118
518,vsubsd,84
519,prefetcht2,245
520,clflush,170
521,invlpg,364
522,vpsrld,153
523,vpaddd,138
524,vpmacssdqh,24
525,vunpcklpd,104
526,vpminub,114
527,addss,41
528,fxrstor,148
529,vmaxss,119
530,vandnpd,186
531,vfnmadd132ps,2
532,pshufhw,32
533,vpunpckhwd,102
534,vmovsd,118
535,xsha256,7
536,vpsrad,110
537,smsw,437
538,vmovlps,40
539,vmovhps,78
540,vpackuswb,96
541,cmpneqps,20
542,vpaddq,88
543,vpaddusw,137
544,xsavec,172
545,kxorw,5
546,vaddpd,126
547,vmulpd,74
548,ldmxcsr,500
549,vpunpcklbw,99
550,vpmacssdd,8
551,vpacksswb,142
552,pavgusb,32
553,vpavgw,97
554,vpcmpeqw,117
555,vhsubps,53
556,vpsrlw,146
557,vpmaxsw,89
558,vcvtss2si,8
559,vpmulhuw,142
560,vpmulhw,105
561,vunpckhps,87
562,vucomisd,13
563,vpunpckldq,119
564,vsqrtss,136
565,vpaddsw,96
566,vpand,80
567,kortestw,1
568,vpunpcklqdq,167
569,vpcmov,13
570,vpmacssdql,14
571,vpsubw,81
572,vcvttsd2si,16
573,vxorps,185
574,movdqa,630
575,vcvttss2si,15
576,rdtscp,21
577,cvtsd2si,106
578,phaddsw,22
579,cvttsd2si,299
580,andpd,162
581,ucomisd,154
582,cmpnlepd,107
583,addsd,186
584,cmpltpd,77
585,subsd,152
586,orpd,144
587,vpshufb,92
588,vshufps,120
589,phaddw,28
590,movdqu,158
591,vcvtsi2ss,137
592,monitor,45
593,vpunpcklwd,125
594,blcmsk,1
595,pfmul,30
596,cvtsd2ss,41
597,pshufb,187
598,fxsave,364
599,phsubw,13
600,pf2id,42
601,pmulhrw,47
602,vpsubusb,83
603,vcmpsd,111
604,pi2fd,112
605,unpckhpd,119
606,vpbroadcastb,2
607,mulpd,141
608,vcmppd,84
609,vmlaunch,6
610,vpmacsdqh,26
611,vcvtdq2pd,12
612,vmovntdq,10
613,vpsllq,120
614,vpaddsb,102
615,vcvtpd2dq,18
616,vmaskmovdqu,3
617,vpmaxub,71
618,vphaddbw,1
619,korw,16
620,vmulps,137
621,vpshaw,15
622,vdpps,14
623,vcmpeq_uqpd,1
624,vrsqrtps,11
625,vfmadd213pd,2
626,vpminuw,6
627,movsldup,8
628,vhaddps,61
629,vcvttps2dq,22
630,vsubss,63
631,kandb,17
632,addsubpd,7
633,vfnmsubpd,1
634,sqrtss,12
635,vpblendw,6
636,vmulss,72
637,vpcomw,10
638,vsqrtpd,12
639,vfnmsub213ss,4
640,pmaddubsw,27
641,vpcomq,7
642,vmulsd,144
643,vpmulhrsw,2
644,movlpd,185
645,movss,83
646,hsubpd,6
647,vmovups,22
648,vpxor,146
649,pmulhrsw,17
650,vmovaps,43
651,cvttpd2pi,6
652,vrcpps,23
653,cvtpi2pd,8
654,movbe,11
655,pfmax,23
656,cmpnleps,49
657,vmptrst,106
658,clgi,8
659,vcvtpd2ps,10
660,vpsubb,123
661,vfmadd213sd,12
662,pabsw,15
663,vpsrlvq,8
664,divsd,145
665,vfrczpd,34
666,vcomiss,41
667,vfmaddsub132ps,1
668,vpmadcsswd,4
669,xorpd,141
670,kmovw,14
671,psignw,13
672,vmovddup,16
673,maxss,15
674,vfmadd231ss,7
675,vpermt2d,4
676,pfsubr,23
677,pfrcp,15
678,kunpckbw,40
679,vpshlw,8
680,pfcmpeq,28
681,sfence,47
682,vblendvps,3
683,cvttpd2dq,5
684,vmovlpd,35
685,palignr,128
686,cvtsi2ss,25
687,kxnorw,12
688,vsubps,105
689,popcnt,6
690,rdseed,62
691,sha256msg2,8
692,vfmaddsub213ps,4
693,vpmulld,6
694,vfmadd231pd,3
695,vpblendd,5
696,vprotb,11
697,vaesenclast,2
698,vcomisd,8
699,cvtpd2pi,9
700,hsubps,6
701,vpmaxsd,4
702,xcryptecb,11
703,maxpd,11
704,vfmsubaddpd,16
705,vfnmadd231pd,9
706,xgetbv,96
707,vphsubd,4
708,vpmuldq,5
709,movddup,6
710,cvtps2dq,13
711,vcmpgt_oqpd,1
712,punpckhqdq,25
713,addsubps,8
714,blsfill,2
715,divss,46
716,pfacc,31
717,pfrcpit1,30
718,blsic,3
719,vphaddw,17
720,vroundps,1
721,vpmacsdql,10
722,vfnmsub132pd,1
723,kortestb,1
724,xcryptofb,13
725,vphadduwd,1
726,cvtpd2ps,42
727,cvttss2si,37
728,kxorb,5
729,subpd,133
730,stac,3
731,phaddd,23
732,phsubsw,21
733,vzeroupper,37
734,mulsd,166
735,encls,19
736,movshdup,6
737,pshufd,197
738,vpmaxuq,2
739,vfmadd213ss,2
740,vpgatherdd,16
741,swapgs,23
742,vphsubw,39
743,movq2dq,8
744,blcfill,34
745,cmpneqss,2
746,enclu,12
747,xcryptctr,4
748,minpd,17
749,korb,14
750,cmpltps,19
751,vmovntps,12
752,vpcomb,11
753,mwait,13
754,vcmpfalsess,1
755,kandnb,10
756,vmovd,13
757,vpshufhw,7
758,vfmaddsd,4
759,tzcnt,44
760,vmovsldup,5
761,andnpd,33
762,vcmpfalse_ospd,1
763,vfnmadd213pd,2
764,vpmadcswd,7
765,vperm2f128,2
766,vpxord,2
767,cmpunordps,13
768,vfmaddps,3
769,vmpsadbw,2
770,invlpga,6
771,sha1nexte,6
772,vpmacsswd,14
773,vfmsub231ss,3
774,vgatherqps,1
775,cvtss2si,7
776,pshuflw,131
777,xcryptcbc,11
778,vcvtpd2dqx,3
779,sha1msg1,14
780,sqrtpd,16
781,vmovdqu,73
782,mulss,53
783,rsqrtss,31
784,rcpss,15
785,minss,19
786,vcmple_oqsd,1
787,vfmsubsd,2
788,vfmaddsubps,8
789,vfmsubaddps,15
790,vzeroall,16
791,kandw,14
792,psignd,49
793,vcmpnlt_uqpd,1
794,vbroadcastsd,1
795,vpsrlvd,1
796,vpermilpd,4
797,cmpeqps,219
798,cmpnltps,7
799,vfmsubss,1
800,unpcklpd,154
801,vpcomub,8
802,vcvtsd2si,25
803,vmovhlps,17
804,aesdec,21
805,aesdeclast,21
806,aesenc,20
807,aesenclast,19
808,vfmsub213pd,2
809,vpsignb,3
810,vfmadd231ps,4
811,vmresume,8
812,vcvttpd2dq,47
813,addpd,137
814,vpmaxsb,4
815,vpminsb,5
816,sqrtsd,29
817,vphaddwd,2
818,vfnmsub213sd,2
819,vprotw,9
820,vpminud,2
821,vcmpunord_ssd,1
822,pfnacc,26
823,vcmpunordpd,2
824,sha256rnds2,10
825,vfnmaddps,4
826,vmsave,10
827,kmovb,7
828,vpmovmskb,36
829,vpslldq,13
830,movmskpd,10
831,vpcmpgtq,1
832,vblendpd,5
833,kxnorb,6
834,vptest,2
835,vmovq,7
836,cvtdq2pd,114
837,vpackusdw,1
838,subss,31
839,cmpltsd,19
840,cvtsi2sd,104
841,cmpeqsd,96
842,shufpd,26
843,pcmpistri,90
844,vcmpneq_oqpd,1
845,movntss,2
846,vpblendvb,2
847,vmovntpd,2
848,vfnmsubps,1
849,vdppd,31
850,pabsb,17
851,vphaddd,3
852,psrldq,94
853,vprotd,15
854,vpcomltuw,21
