,name,document_frequency
613,vpmuludq,11
614,vpxor,6
615,pmulhrsw,1
616,vmovaps,3
617,movbe,2
618,vmptrst,8
619,clgi,2
620,vpandn,5
621,vcvtpd2ps,1
622,vpsubb,6
623,vfmadd213sd,1
624,pabsw,1
625,vpsrlvq,1
626,divsd,1
627,vfrczpd,1
628,vcomiss,1
629,vfmaddsub132ps,1
630,xorpd,1
631,kmovw,1
632,psignw,2
633,vmovddup,1
634,maxss,1
635,vunpckhpd,2
636,vfmadd231ss,1
637,vpermt2d,1
638,vpmacssdd,2
639,pfrcp,2
640,pi2fd,7
641,kunpckbw,1
642,vpshlw,1
643,pfcmpeq,1
644,sfence,1
645,vblendvps,1
646,cvttpd2dq,1
647,vmovlpd,1
648,vmulps,6
649,fxsave,7
650,palignr,3
651,movsldup,1
652,vmovups,4
653,cvtsi2ss,1
654,vrcpps,1
655,orpd,1
656,kxnorw,1
657,vsubps,4
658,popcnt,1
659,rdseed,3
660,sha256msg2,1
661,vfmaddsub213ps,1
662,vpmulld,1
663,vdpps,1
664,vfmadd231pd,1
665,vpblendd,1
666,vprotb,1
667,vaesenclast,1
668,vcomisd,1
669,cvttsd2si,2
670,vpshufb,4
671,cvtpd2pi,1
672,hsubps,1
673,xcryptecb,2
674,maxpd,2
675,movddup,1
676,cvtps2dq,1
677,vcmpgt_oqpd,1
678,punpckhqdq,1
679,addsubps,1
680,divss,1
681,pmulhrw,1
682,pfacc,1
683,blsic,1
684,vphaddw,1
685,vroundps,1
686,vpmacsdql,1
687,vcvttsd2si,1
688,stac,1
689,phsubsw,1
690,vzeroupper,1
691,mulsd,2
692,xgetbv,1
693,vpmaxuq,1
694,vfmadd213ss,1
695,swapgs,2
696,pshufd,1
697,vcvtps2pd,1
698,pf2id,1
699,blcfill,1
700,sha1rnds4,1
701,cmpneqss,1
702,enclu,1
703,vfnmadd231pd,1
704,korb,1
705,cmpltps,1
706,vmovntps,1
707,vpcomb,1
708,vmovd,1
709,andpd,1
710,ucomisd,1
711,cmpnlepd,1
712,addsd,1
713,minss,1
714,pfnacc,1
715,sha256rnds2,1
716,vfnmaddps,1
717,pfmax,1
718,vpcmpgtq,1
719,vblendpd,1
720,kxnorb,1
721,cmpeqps,1
