,name,document_frequency
578,phaddsw,15
579,cvttsd2si,261
580,andpd,143
581,ucomisd,141
582,cmpnlepd,101
583,addsd,170
584,cmpltpd,72
585,subsd,136
586,orpd,125
587,vpshufb,44
588,vshufps,37
589,phaddw,7
590,movdqu,131
591,vcvtsi2ss,24
592,monitor,6
593,vpunpcklwd,17
594,blcmsk,1
595,pfmul,27
596,cvtsd2ss,32
597,pshufb,31
598,fxsave,59
599,phsubw,5
600,pf2id,29
601,pmulhrw,6
602,vpsubusb,31
603,vcmpsd,38
604,pi2fd,63
605,unpckhpd,104
606,vpbroadcastb,2
607,mulpd,121
608,vcmppd,33
609,vmlaunch,1
610,vpmacsdqh,1
611,vcvtdq2pd,6
612,vmovntdq,5
613,vpsllq,34
614,vpaddsb,19
615,vcvtpd2dq,5
616,vmaskmovdqu,3
617,vpmaxub,31
618,vphaddbw,1
619,korw,5
620,vmulps,26
621,vpshaw,5
622,vdpps,2
623,vcmpeq_uqpd,1
624,vrsqrtps,2
625,vfmadd213pd,2
626,vpminuw,1
627,movsldup,6
628,vhaddps,20
629,vcvttps2dq,7
630,vsubss,23
631,kandb,4
632,addsubpd,3
633,vfnmsubpd,1
634,sqrtss,8
635,vpblendw,3
636,vmulss,21
637,vpcomw,3
638,vsqrtpd,9
639,vfnmsub213ss,3
640,pmaddubsw,15
641,vpcomq,1
642,vmulsd,28
643,vpmulhrsw,2
644,movlpd,163
645,movss,79
646,hsubpd,2
647,vmovups,10
648,vpxor,38
649,pmulhrsw,5
650,vmovaps,9
651,cvttpd2pi,4
652,vrcpps,7
653,cvtpi2pd,5
654,movbe,6
655,pfmax,10
656,cmpnleps,3
657,vmptrst,31
658,clgi,4
659,vcvtpd2ps,2
660,vpsubb,24
661,vfmadd213sd,1
662,pabsw,8
663,vpsrlvq,1
664,divsd,128
665,vfrczpd,1
666,vcomiss,32
667,vfmaddsub132ps,1
668,vpmadcsswd,1
669,xorpd,127
670,kmovw,3
671,psignw,5
672,vmovddup,3
673,maxss,12
674,vfmadd231ss,2
675,vpermt2d,1
676,pfsubr,16
677,pfrcp,9
678,kunpckbw,3
679,vpshlw,1
680,pfcmpeq,9
681,sfence,41
682,vblendvps,1
683,cvttpd2dq,4
684,vmovlpd,5
685,palignr,106
686,cvtsi2ss,20
687,kxnorw,2
688,vsubps,21
689,popcnt,2
690,rdseed,19
691,sha256msg2,7
692,vfmaddsub213ps,3
693,vpmulld,3
694,vfmadd231pd,1
695,vpblendd,2
696,vprotb,4
697,vaesenclast,2
698,vcomisd,1
699,cvtpd2pi,2
700,hsubps,3
701,vpmaxsd,3
702,xcryptecb,9
703,maxpd,9
704,vfmsubaddpd,1
705,vfnmadd231pd,2
706,xgetbv,86
707,vphsubd,1
708,vpmuldq,2
709,movddup,4
710,cvtps2dq,11
711,vcmpgt_oqpd,1
712,punpckhqdq,21
713,addsubps,4
714,blsfill,2
715,divss,44
716,pfacc,13
717,pfrcpit1,10
718,blsic,1
719,vphaddw,5
720,vroundps,1
721,vpmacsdql,4
722,vfnmsub132pd,1
723,kortestb,1
724,xcryptofb,8
725,vphadduwd,1
726,cvtpd2ps,37
727,cvttss2si,35
728,kxorb,1
729,subpd,118
730,stac,2
